Subject,AverageStudyTime,AverageBreakTime,PredictedGrade,PredictedKnowledgeLevel
Science,104,25,98,4
History,63,13,79,5
History,86,28,94,5
English,91,25,64,5
English,119,11,67,1
English,112,25,77,4
Math,59,21,97,4
Math,44,7,83,3
Science,80,26,89,3
Science,33,10,74,5
English,59,9,86,4
English,74,15,79,1
History,73,26,67,3
Math,115,11,94,1
English,119,8,82,1
English,109,28,64,4
Math,59,20,87,4
Science,36,27,67,2
Science,36,15,79,5
English,87,10,75,2
Math,50,27,72,1
Math,38,17,69,5
Math,75,18,83,4
Science,98,22,64,2
History,50,25,86,2
Math,99,25,65,1
Science,104,8,75,4
Math,46,26,83,2
Math,75,30,96,2
Science,44,30,90,1
English,50,10,95,4
English,104,18,80,4
Math,94,25,84,4
History,36,10,77,4
History,47,10,80,4
Science,59,13,77,5
Science,120,14,81,4
English,80,8,98,4
Science,30,21,100,5
History,56,14,97,5
History,35,20,99,2
History,75,18,78,5
English,56,24,68,4
Math,115,29,61,3
English,102,17,65,5
History,110,8,77,2
History,94,30,78,3
Math,103,15,68,5
Math,114,29,93,5
Science,82,23,77,4
History,112,24,88,3
History,115,23,97,3
Science,49,17,75,2
Math,30,30,100,1
History,40,25,95,5
Science,57,25,95,1
Math,48,15,76,5
Math,53,20,70,3
History,82,25,83,3
Science,61,28,61,1
Science,39,21,79,3
Science,110,15,95,3
History,108,28,74,1
Science,68,15,66,1
English,111,29,86,5
Math,62,14,84,2
Math,118,27,79,5
History,38,23,93,2
English,75,11,67,4
History,104,16,60,5
Science,55,19,67,1
Science,82,14,63,4
History,118,6,63,4
History,106,22,90,1
Math,120,21,91,4
English,52,15,98,2
History,59,6,88,2
English,38,21,79,2
English,120,29,75,3
English,118,13,72,4
English,49,11,71,5
English,101,18,92,2
Math,70,21,69,1
English,107,21,75,3
Science,106,15,96,2
History,92,27,96,3
English,47,10,97,5
English,62,26,72,1
Science,110,9,88,2
History,73,23,88,4
Science,80,21,79,4
English,87,15,85,1
English,55,17,97,5
English,102,16,84,2
History,43,30,83,3
History,45,7,88,2
History,86,25,70,3
History,62,24,80,3
Science,37,16,76,2
Science,120,11,65,2
English,58,25,96,2
Science,55,26,84,2
Science,119,5,65,1
English,82,28,64,3
History,58,20,83,5
Math,64,19,84,2
Science,105,27,100,2
History,91,9,82,1
English,39,6,77,3
History,108,10,92,1
History,78,20,78,5
English,51,28,91,2
Science,86,23,73,2
Science,45,19,76,2
History,106,13,96,5
English,90,25,68,1
Science,75,29,87,3
History,103,28,66,4
Math,81,29,85,2
Science,120,22,85,1
Science,46,24,66,1
English,111,28,93,3
History,117,7,84,5
English,69,22,89,1
Science,52,5,65,4
English,108,25,83,4
English,88,29,96,3
English,39,17,81,2
Science,46,23,60,3
English,111,10,68,2
Math,107,7,63,5
History,46,9,86,2
Science,55,27,78,1
English,101,10,91,1
English,94,12,91,4
History,39,10,100,1
English,88,26,60,5
History,77,27,69,4
English,61,20,93,2
History,85,23,67,5
History,46,8,61,4
Science,53,8,89,2
English,45,9,97,3
Math,62,9,83,1
Math,35,10,76,2
History,97,19,63,5
Science,63,15,77,2
History,117,27,82,2
Math,53,21,92,2
Math,86,29,63,5
Math,94,21,93,2
Science,82,17,81,3
English,104,30,95,3
Science,109,10,73,1
Math,83,5,67,3
History,44,11,79,5
Math,49,28,64,3
Science,39,5,87,4
English,81,22,79,2
English,81,7,68,1
Math,65,24,76,3
Math,74,10,94,3
Science,46,26,90,2
Science,86,14,72,1
Math,41,24,66,5
Math,94,5,80,2
History,50,23,76,4
Math,107,7,81,4
History,118,27,68,3
Science,41,22,95,1
English,106,10,82,2
English,86,25,95,2
History,64,21,85,2
History,36,21,60,3
English,66,17,60,5
English,119,26,69,4
English,90,11,85,3
English,43,8,88,5
Math,105,11,65,5
English,88,30,81,1
Math,61,19,97,3
Math,57,22,93,1
History,57,17,98,2
English,56,29,81,3
English,102,15,61,5
History,48,16,76,5
English,67,20,94,1
History,33,5,98,5
Science,80,18,91,3
Science,30,25,96,2
Science,118,23,93,4
Science,73,16,64,3
Math,113,5,91,3
English,76,20,93,1
Math,86,10,79,5
Math,102,21,72,2
Science,33,11,84,2
English,45,14,100,1
Science,41,28,86,1
Math,86,26,91,5
Science,90,19,63,1
English,61,18,97,2
English,68,19,62,2
Math,115,7,98,4
Science,48,14,63,3
History,35,6,86,3
Science,52,13,88,3
Science,36,15,73,1
Science,33,28,61,5
Math,111,10,66,4
History,107,6,76,1
Science,32,16,95,2
Math,81,27,74,4
Science,74,16,98,3
History,57,25,95,4
Science,49,10,92,1
History,67,11,91,1
Math,118,7,86,2
Science,85,11,83,1
Science,79,15,98,4
Science,85,17,84,4
History,62,12,79,1
History,109,15,68,5
Science,72,17,72,5
History,40,11,86,3
English,120,15,88,5
English,59,22,94,5
History,40,7,73,1
History,40,28,85,2
History,32,5,86,3
Math,113,23,63,3
History,95,22,68,1
Science,93,11,92,3
Math,58,7,81,3
English,71,25,75,2
Science,38,15,65,3
Math,74,24,65,2
Math,103,21,67,5
English,107,22,92,2
History,54,24,72,3
Science,71,24,69,2
Math,53,30,88,4
Science,117,18,100,1
Math,88,14,80,4
History,45,19,61,3
History,56,28,91,5
English,35,5,75,5
English,59,27,74,3
English,88,5,99,4
History,109,17,91,1
English,49,23,87,4
Math,66,12,94,5
Science,73,6,92,4
Science,99,21,67,2
Science,74,28,98,5
English,77,5,90,4
Math,101,19,64,4
History,67,10,94,4
Science,78,26,71,3
English,113,27,62,1
History,97,15,67,2
History,100,27,79,5
History,53,25,99,3
English,51,26,100,1
English,91,25,83,4
Math,98,5,65,3
Science,117,27,72,3
Science,65,22,89,5
Math,52,8,84,1
History,83,24,94,2
Math,38,10,69,3
Science,100,7,99,3
Math,49,6,90,2
Math,76,8,76,5
History,54,25,68,4
History,32,26,65,4
Science,40,16,100,4
Math,120,27,77,5
Science,72,13,66,2
Math,111,14,72,3
Math,119,19,77,2
Science,79,21,98,2
Science,64,17,97,4
Science,81,29,94,2
Science,35,14,100,2
English,83,8,84,1
English,111,30,63,3
English,110,15,81,2
Math,119,10,79,1
Math,90,27,80,3
Science,113,13,85,1
English,102,11,98,3
History,106,30,73,2
Math,96,20,89,3
English,48,29,92,4
English,31,28,97,5
History,71,13,69,3
History,31,28,79,2
English,44,25,83,5
History,33,5,70,4
Science,45,18,73,5
Science,119,7,82,2
History,102,6,61,5
English,35,20,70,1
Math,85,25,87,2
History,55,14,63,3
Science,81,15,95,4
Science,35,15,70,1
English,99,16,70,1
History,114,24,63,4
Science,75,25,90,3
Science,83,27,71,2
History,43,20,92,4
English,67,7,78,4
History,71,20,69,5
Science,69,18,95,3
Science,103,15,60,3
English,104,16,81,4
Science,52,27,94,5
English,74,21,60,4
Science,30,14,87,4
Science,94,22,61,2
Science,76,27,90,2
English,95,21,90,4
English,31,22,97,2
English,73,11,76,2
Math,99,7,83,3
History,37,12,89,1
English,74,17,96,5
Math,79,16,95,4
Math,51,10,100,4
History,51,17,62,1
English,81,17,79,2
Math,100,13,66,4
History,39,12,89,5
Math,67,30,84,3
History,60,13,78,4
Math,32,15,95,3
Math,68,20,77,4
History,97,20,82,3
History,81,27,95,5
Science,108,26,97,5
Science,35,27,89,3
Math,88,18,91,5
Science,30,30,90,2
English,111,10,65,3
English,119,8,81,5
Math,96,23,80,3
History,102,5,90,3
Math,56,27,92,3
Science,96,7,83,1
Math,43,16,85,4
Science,80,25,93,2
History,60,27,80,4
English,47,6,61,2
English,103,23,97,1
Science,52,23,84,5
English,54,10,87,2
History,109,22,90,2
Math,64,12,77,4
History,36,18,88,4
English,45,19,75,3
History,43,5,79,3
History,101,22,61,5
Science,120,11,75,5
English,110,10,66,4
Math,46,7,81,2
Math,105,10,63,4
Science,118,9,71,1
History,48,25,84,2
Science,33,22,70,4
Science,84,14,84,1
English,79,11,91,5
Science,106,24,93,3
Science,101,11,83,4
English,39,20,80,3
History,36,13,60,1
English,107,10,77,3
Science,41,23,95,3
English,59,26,66,1
History,44,14,89,4
Science,95,8,91,5
Science,92,8,100,5
Science,59,11,77,3
History,109,18,86,3
History,90,28,74,3
History,89,27,91,2
English,54,8,78,3
History,57,7,80,4
Math,76,19,92,3
History,68,7,83,5
Science,90,7,95,1
Math,54,10,93,2
History,95,30,69,1
Math,45,20,62,3
History,47,18,84,5
History,78,30,88,5
History,83,11,94,3
English,65,24,82,3
History,76,12,66,1
History,118,20,65,1
Science,65,6,90,1
Math,58,5,60,1
History,97,7,75,4
Science,33,29,62,3
History,101,14,96,3
English,98,23,79,1
History,42,12,86,1
History,98,16,69,4
English,93,19,62,4
Science,34,14,71,5
Science,61,28,71,5
Science,85,11,91,4
Science,78,6,74,1
Math,112,18,80,5
English,73,14,83,4
English,110,29,76,3
Math,95,16,89,5
History,117,30,71,3
Science,85,25,97,1
Science,46,23,83,2
Science,119,15,88,2
Science,89,12,85,4
Math,99,26,70,2
Math,81,30,63,1
History,107,11,96,4
English,41,6,97,1
History,41,18,100,1
History,47,14,68,5
English,54,25,86,4
Science,120,13,79,4
Math,53,9,90,5
Math,77,6,99,5
Science,37,21,67,5
English,60,13,93,4
Science,53,14,88,5
History,113,18,97,2
Math,68,23,95,2
Math,49,24,79,2
Math,34,12,85,4
Math,98,18,60,3
Science,54,26,86,1
History,34,28,75,5
Science,108,24,91,3
History,38,14,91,4
English,51,19,77,4
History,110,6,86,5
History,102,19,89,2
Science,112,6,89,4
Math,48,16,100,4
History,52,10,64,5
Math,46,8,67,4
Science,81,30,77,3
History,56,23,80,2
Science,87,21,97,2
History,120,15,61,1
Math,39,20,94,2
History,120,21,64,3
Science,55,14,98,2
English,50,26,70,1
Science,62,20,60,3
Science,91,14,100,3
English,47,15,62,3
Math,106,7,100,1
English,39,9,63,4
History,101,20,76,2
English,80,10,68,2
Math,112,26,73,3
English,92,26,90,3
Science,54,15,63,5
History,94,21,81,5
Math,98,28,73,4
Math,58,27,100,3
English,105,6,93,2
English,105,28,68,4
History,81,8,84,4
History,112,22,67,5
English,100,23,90,5
Math,68,14,91,1
Math,34,8,72,1
Science,75,23,99,1
English,102,22,82,4
History,58,6,77,4
Math,46,16,62,5
History,61,17,82,5
Math,92,5,63,5
English,64,12,92,2
English,50,6,69,4
Math,93,5,67,5
History,38,27,74,5
English,76,5,90,1
History,64,26,70,4
Math,45,30,91,5
English,85,22,95,2
English,35,15,87,4
Math,48,20,68,5
Math,98,17,98,3
Math,85,15,92,4
History,49,30,81,4
English,88,28,70,1
English,117,22,64,3
Science,102,20,81,1
English,109,29,61,4
Math,57,5,81,3
History,93,18,66,1
History,71,12,92,4
History,69,18,71,2
Science,100,6,76,4
History,59,29,64,3
History,93,9,92,2
English,61,28,78,4
Math,100,18,65,2
Science,63,23,80,4
Science,120,12,66,4
History,65,17,72,4
Science,110,29,80,4
English,79,29,78,2
English,70,28,83,1
History,107,5,86,1
English,56,17,62,3
Math,61,11,86,1
Math,45,15,100,5
English,64,5,95,1
History,70,11,91,2
Science,76,5,89,4
English,87,10,69,3
English,42,8,77,3
English,118,15,76,4
English,95,9,83,5
Science,115,27,65,3
Math,98,8,96,4
Science,116,24,74,2
Science,74,7,86,3
English,106,24,76,3
English,55,30,80,1
History,56,7,67,3
History,74,14,66,3
Science,85,15,89,4
Math,118,23,95,5
Science,80,15,78,4
English,102,23,98,4
English,99,29,61,2
English,105,13,81,4
English,48,23,90,1
History,34,25,77,5
Math,78,20,61,3
English,117,11,94,1
History,61,29,90,4
Math,41,29,84,3
English,80,12,75,5
Science,67,30,60,1
Math,98,14,71,4
Science,50,9,78,5
Science,116,5,78,4
English,56,18,96,4
Science,87,14,76,4
History,119,18,91,2
Science,99,10,80,4
History,111,9,73,5
History,57,27,98,3
Math,97,16,77,1
English,118,7,77,4
Math,63,20,63,2
Science,36,19,74,4
History,90,25,67,1
English,107,12,74,3
History,30,13,100,1
Science,69,17,67,3
Math,58,8,90,2
Science,79,21,96,1
English,82,13,60,4
Math,65,15,84,1
History,33,10,78,5
Science,48,16,88,4
Science,109,26,78,3
English,105,13,84,2
Science,116,14,96,1
Science,99,13,86,1
English,79,12,94,5
English,86,12,72,5
Science,60,14,69,2
History,119,8,82,2
English,70,12,76,1
English,98,30,88,1
English,47,7,68,4
English,43,8,86,5
History,34,11,64,3
History,84,8,87,1
Math,64,21,91,2
Math,86,24,70,3
Science,64,21,95,1
Math,63,7,61,5
History,78,19,60,1
History,57,10,63,3
English,57,20,88,5
Math,58,18,74,5
Math,40,13,88,2
English,32,18,63,4
History,41,5,73,3
Science,100,16,92,3
Math,94,26,66,4
Math,64,26,71,2
Science,90,14,97,2
English,83,20,83,5
Math,108,26,60,1
English,110,22,63,4
History,59,15,71,1
English,56,23,93,1
English,119,14,99,1
Math,102,8,95,1
English,89,12,62,2
Math,75,7,62,1
Math,51,15,93,1
Science,97,14,65,4
Math,39,5,91,4
History,76,23,66,3
Science,68,19,69,3
English,64,29,75,3
History,118,8,68,2
English,67,16,89,2
Math,102,30,89,5
Science,100,25,80,5
History,90,17,80,4
History,104,20,68,3
History,80,13,65,3
History,36,14,84,1
History,88,26,68,1
History,66,13,71,1
Science,63,17,88,3
Math,80,28,73,4
History,97,27,75,2
Math,60,14,66,2
Math,49,20,89,2
History,37,22,83,3
English,101,23,71,2
English,56,20,90,4
History,112,5,70,5
Science,37,19,70,2
Science,99,14,67,4
English,95,5,64,5
English,116,24,87,3
English,31,14,67,4
Math,71,30,82,5
Science,53,26,74,5
Science,63,17,68,5
Math,37,6,68,2
Science,64,10,65,2
Math,33,25,67,3
English,36,14,100,4
Science,116,25,66,5
English,97,6,80,1
Science,49,26,80,1
History,53,14,84,4
English,42,24,60,5
Science,81,28,74,3
English,88,15,85,2
Science,96,13,75,2
Science,62,26,89,5
English,73,6,73,1
English,73,15,91,2
Science,53,22,97,3
History,98,19,86,4
Science,50,12,82,3
Math,89,30,60,3
History,38,27,64,3
Science,53,17,60,5
English,49,20,92,3
History,91,29,61,3
History,96,8,91,4
English,54,13,87,4
History,59,5,64,1
History,94,5,73,5
Science,59,5,88,4
Science,51,11,89,1
English,101,23,75,3
Science,56,26,82,4
Math,74,19,95,1
History,41,19,100,3
Math,65,30,77,4
English,87,16,81,5
English,38,19,98,1
History,57,7,96,2
History,90,15,83,1
English,71,25,83,1
Science,55,13,92,5
History,86,12,89,5
Science,116,11,92,2
History,35,19,95,4
English,35,5,88,2
History,91,23,80,4
Math,115,5,79,2
Science,107,17,94,5
Science,71,26,91,3
Math,116,23,71,4
English,79,18,88,2
History,65,23,96,5
History,74,16,100,2
Science,94,8,68,2
Math,108,18,70,1
Science,63,10,95,5
Math,55,26,84,2
Math,117,7,98,3
Math,55,10,66,2
English,66,21,81,3
History,93,17,80,3
History,83,12,83,4
Math,57,13,68,2
Science,79,19,74,3
History,113,29,69,1
Science,106,12,88,4
History,98,21,98,4
Science,39,30,77,2
Math,93,25,79,4
Math,86,19,97,5
Science,60,27,86,3
History,71,27,76,5
English,84,14,84,4
Science,96,11,82,2
Science,69,18,94,1
English,42,29,100,5
Math,82,15,78,3
English,97,25,81,5
Science,100,18,84,5
English,119,14,78,4
English,53,24,84,5
History,98,12,78,4
Math,83,15,61,4
English,55,6,79,4
Science,49,15,66,1
History,99,23,91,5
Science,59,16,80,4
English,108,19,61,2
Math,97,26,95,4
Science,34,18,60,1
Science,67,30,61,1
Science,57,11,66,1
English,119,18,77,4
English,111,11,100,4
Science,59,14,100,2
English,79,9,83,2
English,107,16,85,3
English,86,6,84,2
Math,53,12,68,5
History,43,20,70,2
Math,37,28,86,5
Science,70,14,96,3
English,66,11,69,3
Science,97,15,95,1
Math,102,22,79,3
Math,44,14,83,5
History,80,17,96,2
Science,96,25,62,1
Science,115,29,96,3
Math,53,30,70,1
English,44,14,90,1
Science,91,14,73,1
Science,47,28,77,4
English,97,18,85,1
English,99,30,62,4
Math,90,24,89,5
Science,62,17,60,3
Math,59,28,69,3
History,114,16,61,4
Math,104,23,89,2
Math,74,10,98,4
Math,37,6,62,2
English,83,6,80,3
History,48,18,87,3
Science,105,30,88,4
English,62,18,60,5
English,38,17,99,2
History,84,8,71,2
History,49,11,68,1
English,68,5,88,3
Math,39,11,67,1
Science,70,22,98,3
Math,98,6,71,1
History,106,5,94,3
History,115,19,84,4
Math,50,18,69,5
History,48,12,73,5
History,71,13,71,4
Science,95,23,65,2
Math,110,17,94,4
Science,90,10,99,4
History,104,7,74,1
English,58,8,75,1
History,38,19,74,3
Math,85,11,96,4
Science,57,30,86,3
History,52,23,82,3
English,99,10,97,4
Math,112,11,82,2
Math,39,13,76,3
English,54,25,79,5
English,79,24,99,4
Math,77,29,73,4
Science,108,28,76,2
Math,109,13,64,3
History,116,27,81,3
History,72,7,92,3
Math,62,8,75,1
Math,83,18,80,2
Science,87,9,65,2
Science,40,9,61,5
Math,62,6,65,1
History,59,15,60,5
History,108,8,70,5
History,57,17,67,5
History,79,16,71,4
English,77,9,64,5
English,37,28,66,1
History,94,28,98,3
Science,110,22,71,3
History,76,25,83,2
Math,92,7,99,5
Science,110,15,98,5
Science,55,14,87,1
English,87,14,88,2
Science,105,25,76,5
History,89,23,99,4
English,107,14,97,1
English,49,26,64,5
English,85,11,73,5
Math,95,20,93,4
English,45,26,77,4
Math,41,27,88,3
Science,69,9,89,4
Math,104,5,67,1
History,102,24,100,5
History,84,15,70,3
History,41,25,90,3
History,91,7,83,4
Science,86,14,84,5
Science,59,16,96,4
History,80,7,78,1
Science,57,20,87,3
English,110,30,96,4
English,104,7,73,2
English,56,13,61,3
Science,71,12,93,3
History,40,24,98,4
History,79,23,63,2
Math,115,26,94,3
History,56,30,66,5
Math,44,6,87,5
History,39,21,64,1
History,112,21,78,3
Science,93,13,99,2
Math,102,16,69,3
History,38,15,100,4
Science,88,5,87,2
English,34,8,92,1
English,65,7,75,5
History,74,27,84,1
Math,120,27,71,1
History,85,8,99,1
History,117,26,93,2
History,109,15,94,4
History,68,8,90,5
Math,34,19,80,5
History,30,14,61,1
History,55,22,99,5
English,76,7,72,1
Math,84,15,66,2
Science,102,11,72,2
History,82,29,77,3
Math,74,11,74,1
Math,104,9,79,5
Science,74,29,63,1
History,83,20,88,2
History,31,9,76,4
Science,70,22,92,4
Math,56,24,81,1
English,97,10,64,1
Science,54,14,99,4
History,84,11,69,3
Math,60,6,82,2
History,91,5,94,5
History,77,17,84,2
Science,109,12,73,4
History,65,20,85,4
History,114,19,88,1
History,114,16,63,1
Science,108,25,72,2
Math,95,29,86,5
Science,42,6,99,3
History,40,17,63,1
Science,91,20,89,2
English,69,29,85,4
History,72,29,99,3
Science,106,23,77,4
History,53,26,70,1
History,78,30,78,2
English,40,27,85,1
English,91,29,67,5
Math,67,27,75,1
English,37,29,72,1
Math,82,7,73,2
History,69,25,60,4
History,40,21,95,2
Math,80,6,91,5
Math,119,19,64,2
Math,60,20,96,1
Science,63,26,91,4
Math,115,28,94,1
English,44,25,68,4
History,101,6,61,4
History,30,17,77,3
History,79,28,92,2
English,46,20,66,2
Science,90,25,90,2
Science,34,29,91,1
History,52,15,88,1
Math,105,20,84,2
Science,63,20,93,1
English,64,16,85,2
English,78,5,91,1
Math,106,25,67,2
English,104,21,95,2
Science,39,8,67,3
Math,55,16,76,1
Math,39,20,62,3
Math,79,21,93,5
English,106,23,88,5
Science,101,17,90,4
Science,54,29,68,3
Science,80,17,61,1
English,106,11,70,4
Science,31,25,73,1
History,99,11,68,5
Science,37,15,73,2
History,114,20,63,3
History,51,21,79,4
Math,106,8,63,5
Science,62,16,87,4
Science,93,17,67,3
History,40,14,61,1
Science,41,5,93,1
History,105,9,81,1
Math,111,14,61,5
Math,118,16,80,1
History,78,14,90,5
English,48,16,70,2
English,73,13,71,3
Math,51,15,62,4
English,94,13,67,1
History,104,12,84,3
Science,104,6,82,5
Science,91,23,91,2
English,72,22,85,5
History,48,18,94,5
English,88,5,65,2
English,88,6,83,4
English,46,26,65,2
Math,61,24,90,2
Science,91,27,67,1
Math,67,24,94,3
History,78,30,80,1
Science,75,24,70,1
English,111,16,75,4
English,50,17,89,2
English,57,20,100,5
Science,112,8,74,2
English,48,27,63,3
Science,43,9,97,2
Math,73,5,85,2
Science,73,30,87,2
Science,86,5,61,2
Math,48,17,79,1
English,95,16,87,2
History,48,6,68,3
Science,108,20,100,4
History,83,11,85,5
History,70,25,66,3
History,87,12,65,1
Science,115,6,77,1
Science,73,30,84,4
Math,80,12,81,2
English,33,20,78,2
Science,92,22,68,1
Math,107,8,74,5
Science,60,18,79,2
Science,51,10,94,4
Science,60,28,80,5
History,47,29,89,5
English,43,17,81,3
Science,37,12,60,2
History,45,21,64,1
Math,94,24,94,5
Science,114,13,65,2
Science,79,28,91,1
History,61,26,61,1
Math,39,16,83,2
English,105,7,62,1
Science,95,22,88,2
History,59,11,82,2
English,52,8,86,3
Math,43,24,66,4
History,74,5,91,4
English,103,17,63,4
History,102,6,67,3
History,77,19,63,2
History,118,11,62,3
English,49,22,61,2
History,81,27,61,3
History,88,23,62,2
Science,114,23,70,5
History,100,12,87,3
English,77,9,96,4
Math,34,18,87,2
Science,111,11,78,2
Math,111,30,82,5
Math,106,6,61,3
Math,73,23,89,1
Science,39,8,87,4
History,116,21,86,1
Science,116,11,76,5
Science,109,20,62,1
Math,86,15,100,1
English,114,19,91,1
Math,36,21,89,4
Science,99,7,96,2
History,34,12,85,2
English,54,29,80,5
English,57,30,72,4
History,74,30,81,5
History,74,19,99,4
Science,33,9,89,3
History,100,18,66,4
History,47,17,64,3
English,46,6,63,3
History,35,9,91,4
Math,68,7,69,4
English,120,17,76,2
Science,75,6,80,3
English,118,7,85,4
History,108,22,64,3
Math,72,10,83,3
Science,36,21,100,5
Science,118,23,100,5
History,68,13,97,3
Science,60,7,90,1
History,82,22,75,3
History,85,9,80,2
History,43,5,80,4
Science,99,19,71,5
English,96,23,84,5
Science,84,9,82,5
English,79,28,71,5
Math,110,26,60,5
Math,99,16,69,3
English,83,6,89,4
History,109,16,80,2
Math,60,14,60,5
English,113,6,78,3
History,30,22,81,5
English,38,25,72,4
History,104,28,66,1
English,97,7,83,4
History,104,28,81,3
English,76,10,99,5
Science,107,20,79,3
Math,117,28,88,3
History,70,21,76,4
Science,46,12,61,4
English,74,26,75,5
Math,56,14,94,5
History,69,20,80,4
Science,80,21,91,1
Math,79,18,81,4
English,85,8,94,2
Science,81,26,77,1
English,103,16,75,1
History,31,29,67,2
English,48,26,65,3
Math,68,6,64,1
History,106,17,99,1
Math,55,23,62,4
Math,79,10,72,2
Science,74,10,76,5
History,120,23,72,3
Math,115,12,61,2
Science,99,27,70,5
Math,75,18,84,5
English,106,30,88,3
English,52,26,80,1
History,104,6,64,2
Math,87,13,73,1
Math,66,6,86,3
History,119,10,68,1
English,90,24,63,1
Science,117,30,72,1
Science,81,13,67,2
Science,83,12,68,5
History,82,27,71,3
History,116,11,61,3
History,75,14,64,5
History,108,20,66,3
English,54,26,76,4
English,71,29,83,2
Science,107,28,62,3
History,82,19,67,2
History,54,27,88,2
Science,88,18,68,1
Science,79,22,86,5
English,52,15,60,5
English,114,14,100,1
History,35,14,60,3
History,37,28,72,4
English,35,5,81,2
History,61,16,83,5
Science,44,18,69,5
Science,105,30,62,1
Math,90,28,76,5
Science,118,8,70,2
Math,63,22,72,3
Science,83,30,70,3
Math,34,10,75,3
Science,113,18,76,3
Math,114,20,78,3
History,60,20,73,1
Science,101,19,71,4
History,111,20,90,2
Science,66,6,100,4
Science,41,16,79,2
English,71,26,77,1
English,71,10,91,1
English,64,9,78,5
Math,51,8,75,4
Science,34,5,75,2
English,100,25,96,2
Science,56,21,73,4
English,48,30,72,2
Science,73,22,99,4
History,89,16,77,1
English,85,12,89,3
History,65,16,76,2
Science,88,9,88,5
English,105,5,73,3
History,62,18,94,3
History,38,23,100,5
Science,62,28,92,5
Math,67,27,93,4
Science,30,18,82,4
English,100,7,95,2
Science,116,16,70,1
English,45,25,81,4
Math,47,13,87,5
English,31,7,77,2
Science,88,9,65,1
Math,46,15,85,2
Science,92,20,65,1
Science,77,29,85,3
Math,88,12,90,3
Math,117,12,68,3
English,64,25,79,1
Science,97,25,98,3
Math,69,9,81,1
Math,84,26,97,4
English,57,12,89,2
English,81,8,90,3
English,30,14,91,4
English,70,5,90,5
Math,58,21,95,2
Math,98,10,83,5
Math,67,21,84,5
Math,105,19,98,5
History,118,29,74,2
History,113,15,90,3
Math,105,15,80,5
History,48,28,62,3
English,72,5,83,1
English,102,27,92,5
English,56,24,74,1
Science,94,10,92,4
English,113,24,73,1
History,89,5,97,4
Math,38,12,60,5
Science,37,19,68,3
Science,41,20,84,3
Science,117,23,85,4
History,53,5,79,5
English,31,5,70,1
English,64,6,100,2
History,35,15,95,2
History,78,27,84,4
Science,53,26,77,5
History,100,10,80,1
History,85,9,78,2
History,58,16,96,2
Math,93,28,97,2
Science,99,25,94,5
Math,67,18,80,3
English,97,22,88,3
English,57,14,75,1
Math,41,28,93,5
Science,68,5,76,1
English,51,13,96,3
History,107,24,62,2
Science,71,5,91,5
English,75,27,95,5
History,45,13,83,1
History,53,29,79,1
History,52,5,76,3
Math,116,8,67,3
History,32,22,94,4
Science,114,10,69,4
Science,81,11,67,1
Science,106,19,65,4
English,63,8,85,5
Science,35,30,67,3
History,42,29,96,3
Math,74,20,65,3
Math,120,14,61,5
English,56,27,92,4
English,83,13,70,4
History,46,21,68,2
Math,97,7,66,4
Science,104,25,100,2
Science,109,22,67,2
Science,87,18,87,5
Math,41,5,70,2
History,110,17,96,3
English,116,13,85,1
English,80,7,98,5
Science,105,11,88,1
Science,30,15,98,5
English,79,6,74,2
English,104,9,65,5
History,43,23,98,4
Math,90,25,85,3
Math,69,22,74,4
Math,86,25,83,5
History,43,28,86,4
History,100,19,76,4
Math,76,21,64,4
Science,70,17,76,2
Science,33,20,68,2
English,58,30,97,5
History,59,14,77,1
Math,94,5,82,1
History,98,25,70,1
Science,55,18,60,1
History,53,16,97,5
English,118,9,74,3
History,83,29,60,1
Math,41,21,72,3
History,56,21,98,3
Math,60,24,96,3
English,103,9,81,3
History,78,24,76,5
English,85,12,83,5
Science,82,30,97,3
History,71,6,78,1
Math,88,10,84,3
Math,64,9,63,1
History,61,22,95,2
Science,54,30,81,3
History,51,25,88,5
History,57,23,63,2
English,70,27,97,2
Math,49,19,71,5
Math,64,15,100,1
History,60,24,86,4
Science,117,17,73,5
Math,78,10,72,5
Science,85,29,65,2
History,45,11,95,4
History,39,28,86,4
English,49,25,100,5
English,106,28,90,2
History,78,22,93,5
Math,52,8,63,3
Science,90,13,86,4
English,111,14,61,2
History,94,17,62,1
Math,97,14,86,2
English,76,7,66,2
History,107,9,88,3
Science,104,9,90,4
Science,91,8,62,2
English,114,13,100,1
History,56,18,94,4
Math,81,30,73,2
English,40,14,98,1
English,70,29,92,4
Science,49,14,79,2
Science,71,11,69,1
Math,94,26,89,4
Science,67,9,84,5
English,67,10,79,3
English,49,9,100,1
Science,52,12,95,3
Science,39,11,74,5
Science,70,17,100,3
English,90,20,97,3
Math,57,7,76,3
Science,31,11,89,3
Math,84,22,88,5
English,45,14,61,4
Science,74,17,92,1
History,86,25,98,5
Math,59,24,94,1
Math,34,11,64,2
History,87,14,62,3
Math,112,22,80,2
English,31,8,83,4
Science,103,21,69,5
Science,94,23,66,4
Math,41,11,100,5
History,57,28,69,4
Math,41,25,91,4
History,67,7,63,2
Science,69,27,84,4
History,99,21,67,3
English,46,11,75,5
Science,100,19,99,5
English,51,12,91,1
Science,56,15,64,4
Science,60,11,81,4
English,97,10,75,2
Science,54,26,84,5
English,80,23,76,5
Math,101,22,76,4
English,30,15,91,5
Science,83,19,98,3
Science,76,25,96,4
English,71,7,85,4
Math,47,24,93,3
Math,95,27,100,4
